N,i,time
500,1,0.000345333
500,6,0.000111
500,11,8.66667e-05
500,16,6.5e-05
500,21,6.2e-05
500,26,6.16667e-05
500,31,5.36667e-05
500,36,5.13333e-05
500,41,5.1e-05
500,46,5.1e-05
500,51,5.1e-05
500,56,5.06667e-05
500,61,5e-05
500,66,4.76667e-05
500,71,4.73333e-05
500,76,4.76667e-05
500,81,4.73333e-05
500,86,4.73333e-05
500,91,4.73333e-05
500,96,4.76667e-05
1000,1,0.000452667
1000,6,0.000252333
1000,11,0.000187
1000,16,0.000146667
1000,21,0.000156
1000,26,0.000196667
1000,31,0.000136
1000,36,0.000126667
1000,41,0.000126
1000,46,0.000138333
1000,51,0.000120667
1000,56,0.000129667
1000,61,0.000120333
1000,66,0.000112667
1000,71,0.000114667
1000,76,0.000113
1000,81,0.000112
1000,86,0.000113
1000,91,0.000112
1000,96,0.000114
1000,101,0.000115
1000,106,0.000115
1000,111,0.000114
1000,116,0.000113667
1000,121,0.000112333
1000,126,0.000157667
1000,131,0.000161667
1000,136,0.000128667
1000,141,0.000122
1000,146,0.000121667
1000,151,0.000121
1000,156,0.000121
1000,161,0.000121333
1000,166,0.000121
1000,171,0.000121333
1000,176,0.000121
1000,181,0.000120333
1000,186,0.000120667
1000,191,0.000121333
1000,196,0.000121
2000,1,0.000849
2000,6,0.000533667
2000,11,0.000423333
2000,16,0.00032
2000,21,0.000329667
2000,26,0.000356667
2000,31,0.000404667
2000,36,0.000298667
2000,41,0.000298
2000,46,0.000276667
2000,51,0.000291333
2000,56,0.000302667
2000,61,0.000263333
2000,66,0.000251667
2000,71,0.000246
2000,76,0.000245333
2000,81,0.000292667
2000,86,0.000273667
2000,91,0.000315
2000,96,0.000289
2000,101,0.000249
2000,106,0.000248333
2000,111,0.000308
2000,116,0.000342
2000,121,0.000311333
2000,126,0.000326
2000,131,0.000312
2000,136,0.000296
2000,141,0.000335333
2000,146,0.000282667
2000,151,0.000434667
2000,156,0.000324
2000,161,0.0003
2000,166,0.000268333
2000,171,0.00027
2000,176,0.000269333
2000,181,0.000267333
2000,186,0.000271333
2000,191,0.000275333
2000,196,0.000273667
2000,201,0.000269667
2000,206,0.000266333
2000,211,0.000268333
2000,216,0.000363333
2000,221,0.000290667
2000,226,0.000302
2000,231,0.000302667
2000,236,0.000346
2000,241,0.000306333
2000,246,0.000292667
2000,251,0.000366333
2000,256,0.000366667
2000,261,0.000419667
2000,266,0.000408333
2000,271,0.000391667
2000,276,0.000383667
2000,281,0.000384667
2000,286,0.000383
2000,291,0.000478
2000,296,0.000392333
2000,301,0.000416
2000,306,0.000399333
2000,311,0.000374
2000,316,0.000378
2000,321,0.000379333
2000,326,0.000391
2000,331,0.000366333
2000,336,0.000387
2000,341,0.000366
2000,346,0.000381667
2000,351,0.000387
2000,356,0.000389
2000,361,0.000383
2000,366,0.000402667
2000,371,0.000386
2000,376,0.000538333
2000,381,0.000386
2000,386,0.000371
2000,391,0.000376667
2000,396,0.000366333
5000,1,0.00244567
5000,6,0.001421
5000,11,0.001247
5000,16,0.001077
5000,21,0.000875333
5000,26,0.000886667
5000,31,0.000872333
5000,36,0.000907
5000,41,0.000794
5000,46,0.000773
5000,51,0.000766333
5000,56,0.000790667
5000,61,0.000759667
5000,66,0.000802667
5000,71,0.000783
5000,76,0.000783333
5000,81,0.000898
5000,86,0.000744333
5000,91,0.000745333
5000,96,0.000937667
5000,101,0.000783333
5000,106,0.000721
5000,111,0.000742333
5000,116,0.000727667
5000,121,0.000746333
5000,126,0.000761667
5000,131,0.000727333
5000,136,0.000794
5000,141,0.000748667
5000,146,0.00077
5000,151,0.000753
5000,156,0.000893
5000,161,0.000881
5000,166,0.000917667
5000,171,0.000845333
5000,176,0.000860667
5000,181,0.000999333
5000,186,0.00084
5000,191,0.000818667
5000,196,0.000950333
5000,201,0.000861333
5000,206,0.000973
5000,211,0.000917
5000,216,0.000852667
5000,221,0.000914333
5000,226,0.000916667
5000,231,0.00086
5000,236,0.000863333
5000,241,0.000883667
5000,246,0.000874667
5000,251,0.000828333
5000,256,0.00101133
5000,261,0.000821
5000,266,0.000835
5000,271,0.00101633
5000,276,0.000857
5000,281,0.00082
5000,286,0.000854333
5000,291,0.000820667
5000,296,0.000886333
5000,301,0.000834
5000,306,0.000862
5000,311,0.00101167
5000,316,0.00119667
5000,321,0.001349
5000,326,0.001228
5000,331,0.001196
5000,336,0.00121333
5000,341,0.00119867
5000,346,0.001195
5000,351,0.001215
5000,356,0.001199
5000,361,0.001153
5000,366,0.001154
